,Mouse ID,Session ID,Block Trial,Port Streak,Reward Streak,Decision,Switch,Higher p port,Reward
0,dumble,08192016_dumble,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,dumble,08192016_dumble,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2,dumble,08192016_dumble,2.0,2.0,2.0,0.0,0.0,0.0,1.0
3,dumble,08192016_dumble,3.0,3.0,3.0,0.0,0.0,0.0,1.0
4,dumble,08192016_dumble,4.0,4.0,4.0,0.0,0.0,0.0,1.0
5,dumble,08192016_dumble,5.0,5.0,5.0,0.0,0.0,0.0,1.0
6,dumble,08192016_dumble,6.0,6.0,6.0,0.0,0.0,0.0,1.0
7,dumble,08192016_dumble,7.0,7.0,7.0,0.0,0.0,0.0,1.0
8,dumble,08192016_dumble,8.0,8.0,8.0,0.0,0.0,0.0,0.0
9,dumble,08192016_dumble,9.0,9.0,-1.0,0.0,0.0,0.0,1.0
10,dumble,08192016_dumble,10.0,10.0,1.0,0.0,0.0,0.0,1.0
11,dumble,08192016_dumble,11.0,11.0,2.0,0.0,0.0,0.0,1.0
12,dumble,08192016_dumble,12.0,12.0,3.0,0.0,0.0,0.0,1.0
13,dumble,08192016_dumble,13.0,13.0,4.0,0.0,0.0,0.0,1.0
14,dumble,08192016_dumble,14.0,14.0,5.0,1.0,1.0,1.0,1.0
15,dumble,08192016_dumble,15.0,1.0,6.0,1.0,0.0,1.0,1.0
16,dumble,08192016_dumble,16.0,2.0,7.0,1.0,0.0,1.0,1.0
17,dumble,08192016_dumble,17.0,3.0,8.0,1.0,0.0,1.0,1.0
18,dumble,08192016_dumble,18.0,4.0,9.0,1.0,0.0,1.0,0.0
19,dumble,08192016_dumble,19.0,5.0,-1.0,1.0,0.0,1.0,1.0
20,dumble,08192016_dumble,20.0,6.0,1.0,1.0,0.0,1.0,1.0
21,dumble,08192016_dumble,21.0,7.0,2.0,1.0,0.0,1.0,1.0
22,dumble,08192016_dumble,22.0,8.0,3.0,1.0,0.0,1.0,1.0
23,dumble,08192016_dumble,23.0,9.0,4.0,1.0,0.0,1.0,0.0
24,dumble,08192016_dumble,24.0,10.0,-1.0,1.0,0.0,1.0,1.0
25,dumble,08192016_dumble,25.0,11.0,1.0,1.0,0.0,1.0,1.0
26,dumble,08192016_dumble,26.0,12.0,2.0,1.0,0.0,1.0,0.0
27,dumble,08192016_dumble,27.0,13.0,-1.0,1.0,0.0,1.0,1.0
28,dumble,08192016_dumble,28.0,14.0,1.0,1.0,0.0,1.0,0.0
29,dumble,08192016_dumble,29.0,15.0,-1.0,1.0,0.0,1.0,1.0
30,dumble,08192016_dumble,30.0,16.0,1.0,1.0,0.0,1.0,1.0
31,dumble,08192016_dumble,31.0,17.0,2.0,1.0,0.0,1.0,1.0
32,dumble,08192016_dumble,32.0,18.0,3.0,1.0,0.0,1.0,1.0
33,dumble,08192016_dumble,33.0,19.0,4.0,1.0,0.0,1.0,1.0
34,dumble,08192016_dumble,34.0,20.0,5.0,0.0,1.0,0.0,1.0
35,dumble,08192016_dumble,35.0,1.0,6.0,0.0,0.0,0.0,1.0
36,dumble,08192016_dumble,36.0,2.0,7.0,0.0,0.0,0.0,1.0
37,dumble,08192016_dumble,37.0,3.0,8.0,0.0,0.0,0.0,1.0
38,dumble,08192016_dumble,38.0,4.0,9.0,0.0,0.0,0.0,1.0
39,dumble,08192016_dumble,39.0,5.0,10.0,0.0,0.0,0.0,1.0
40,dumble,08192016_dumble,40.0,6.0,11.0,0.0,0.0,0.0,1.0
41,dumble,08192016_dumble,41.0,7.0,12.0,0.0,0.0,0.0,1.0
42,dumble,08192016_dumble,42.0,8.0,13.0,0.0,0.0,0.0,0.0
43,dumble,08192016_dumble,43.0,9.0,-1.0,0.0,0.0,0.0,1.0
44,dumble,08192016_dumble,44.0,10.0,1.0,0.0,0.0,0.0,0.0
45,dumble,08192016_dumble,45.0,11.0,-1.0,0.0,0.0,0.0,1.0
46,dumble,08192016_dumble,46.0,12.0,1.0,0.0,0.0,0.0,0.0
47,dumble,08192016_dumble,47.0,13.0,-1.0,0.0,0.0,0.0,1.0
48,dumble,08192016_dumble,48.0,14.0,1.0,0.0,0.0,0.0,0.0
49,dumble,08192016_dumble,49.0,15.0,-1.0,0.0,0.0,0.0,1.0
50,dumble,08192016_dumble,50.0,16.0,1.0,0.0,0.0,0.0,1.0
51,dumble,08192016_dumble,51.0,17.0,2.0,0.0,0.0,0.0,1.0
52,dumble,08192016_dumble,52.0,18.0,3.0,0.0,0.0,0.0,1.0
53,dumble,08192016_dumble,53.0,19.0,4.0,0.0,0.0,0.0,1.0
54,dumble,08192016_dumble,54.0,20.0,5.0,0.0,0.0,0.0,1.0
55,dumble,08192016_dumble,55.0,21.0,6.0,0.0,0.0,0.0,0.0
56,dumble,08192016_dumble,56.0,22.0,-1.0,0.0,0.0,0.0,1.0
57,dumble,08192016_dumble,57.0,23.0,1.0,0.0,0.0,0.0,1.0
58,dumble,08192016_dumble,58.0,24.0,2.0,0.0,0.0,0.0,1.0
59,dumble,08192016_dumble,59.0,25.0,3.0,0.0,0.0,0.0,1.0
60,dumble,08192016_dumble,0.0,26.0,4.0,0.0,0.0,1.0,0.0
